"","Station","Species","n_events"
"115","C5T2P11","Odocoileus virginianus",1
"116","C5T2P11","Sylvilagus floridanus",12
"117","C5T2P11","Urocyon cinereoargenteus",3
"118","C5T2P21","Odocoileus virginianus",0
"119","C5T2P21","Sylvilagus floridanus",0
"120","C5T2P21","Urocyon cinereoargenteus",0
"121","C5T3P1","Odocoileus virginianus",5
"122","C5T3P1","Sylvilagus floridanus",2
"123","C5T3P1","Urocyon cinereoargenteus",11
"124","C5T3P11","Odocoileus virginianus",0
"125","C5T3P11","Sylvilagus floridanus",0
"126","C5T3P11","Urocyon cinereoargenteus",0
"127","C5T3P21","Odocoileus virginianus",2
"128","C5T3P21","Sylvilagus floridanus",12
"129","C5T3P21","Urocyon cinereoargenteus",0
"130","C6T1P1","Odocoileus virginianus",0
"131","C6T1P1","Sylvilagus floridanus",0
"132","C6T1P1","Urocyon cinereoargenteus",0
"133","C6T1P11","Odocoileus virginianus",1
"134","C6T1P11","Sylvilagus floridanus",0
"135","C6T1P11","Urocyon cinereoargenteus",0
"136","C6T1P21","Odocoileus virginianus",1
"137","C6T1P21","Sylvilagus floridanus",15
"138","C6T1P21","Urocyon cinereoargenteus",0
"139","C6T2P1","Odocoileus virginianus",0
"140","C6T2P1","Sylvilagus floridanus",0
"141","C6T2P1","Urocyon cinereoargenteus",1
"142","C6T2P11","Odocoileus virginianus",1
"143","C6T2P11","Sylvilagus floridanus",2
"144","C6T2P11","Urocyon cinereoargenteus",1
"145","C6T3P1","Odocoileus virginianus",0
"146","C6T3P1","Sylvilagus floridanus",1
"147","C6T3P1","Urocyon cinereoargenteus",0
"148","C6T3P11","Odocoileus virginianus",0
"149","C6T3P11","Sylvilagus floridanus",0
"150","C6T3P11","Urocyon cinereoargenteus",1
"151","C6T3P21","Odocoileus virginianus",0
"152","C6T3P21","Sylvilagus floridanus",0
"153","C6T3P21","Urocyon cinereoargenteus",0
"154","CB18P10","Odocoileus virginianus",12
"155","CB18P10","Sylvilagus floridanus",0
"156","CB18P10","Urocyon cinereoargenteus",6
"157","CB18P11","Odocoileus virginianus",25
"158","CB18P11","Sylvilagus floridanus",1
"159","CB18P11","Urocyon cinereoargenteus",0
"160","CB18P12","Odocoileus virginianus",10
"161","CB18P12","Sylvilagus floridanus",7
"162","CB18P12","Urocyon cinereoargenteus",2
"163","CB18P13","Odocoileus virginianus",30
"164","CB18P13","Sylvilagus floridanus",14
"165","CB18P13","Urocyon cinereoargenteus",1
"166","CB18P14","Odocoileus virginianus",4
"167","CB18P14","Sylvilagus floridanus",8
"168","CB18P14","Urocyon cinereoargenteus",1
"169","CB18P15","Odocoileus virginianus",3
"170","CB18P15","Sylvilagus floridanus",0
"171","CB18P15","Urocyon cinereoargenteus",0
"172","CB18P26","Odocoileus virginianus",1
"173","CB18P26","Sylvilagus floridanus",0
"174","CB18P26","Urocyon cinereoargenteus",2
"175","CB18P27","Odocoileus virginianus",3
"176","CB18P27","Sylvilagus floridanus",0
"177","CB18P27","Urocyon cinereoargenteus",0
"178","CB18P28","Odocoileus virginianus",11
"179","CB18P28","Sylvilagus floridanus",43
"180","CB18P28","Urocyon cinereoargenteus",0
"181","CB18P29","Odocoileus virginianus",3
"182","CB18P29","Sylvilagus floridanus",0
"183","CB18P29","Urocyon cinereoargenteus",9
"184","CB18P30","Odocoileus virginianus",2
"185","CB18P30","Sylvilagus floridanus",0
"186","CB18P30","Urocyon cinereoargenteus",0
"187","CB18P32","Odocoileus virginianus",6
"188","CB18P32","Sylvilagus floridanus",0
"189","CB18P32","Urocyon cinereoargenteus",0
"190","CB18P9","Odocoileus virginianus",6
"191","CB18P9","Sylvilagus floridanus",0
"192","CB18P9","Urocyon cinereoargenteus",12
